,store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
0,8139926242460185114,0,9,0,0,0,0
1,5415949628544298339,13,2,0,0,3,0
2,3408529570017053440,828,0,0,671,16,0
3,9055649751952768824,0,0,0,0,1,0
4,4428372089193592098,828,0,0,671,16,0
5,2689959411535120475,13,23,0,0,6,0
6,8297996490922435741,4,0,0,8,5,0
7,1050565545391667097,0,19,0,0,6,0
8,3483930781272060942,12,0,0,1,5,0
9,1740222068509982431,6,0,0,6,5,0
10,2859012985063828777,1040,15,0,459,1,0
11,3828361964081888905,8,0,0,5,5,0
12,5789640881970906690,1317,0,0,182,4,0
13,5723059602183693938,0,19,0,0,6,0
14,4378293333107164443,828,0,0,671,16,0
15,8778651700128892847,1251,0,0,248,6,0
16,6666934422919388376,982,19,0,517,21,0
17,6163165919739157695,830,0,0,669,16,0
18,2190599106298424769,1294,5,0,205,0,0
19,2225219938220197351,1424,1,0,75,6,0
20,5925159570709352168,13,23,0,0,6,0
21,8175229951397380687,981,19,0,518,21,0
22,4292660491880158081,13,23,0,0,6,0
23,6733800122189753654,828,0,0,671,16,0
24,7463734423358941330,829,0,0,670,0,0
25,7622852966095963272,1110,7,0,389,0,0
26,6160914795278193489,1430,1,0,69,6,0
27,338646328301262317,1373,0,0,126,7,0
28,8640972490360190883,982,19,0,517,21,0
29,9058019541301770690,13,5,0,0,0,0
30,4381311595575895588,13,19,0,0,10,0
31,2248905253110987612,1294,5,0,205,2,0
32,7968584600264951543,1307,5,0,192,0,0
33,1655838063357762151,1251,0,0,248,6,0
34,2118894053982561987,830,0,0,669,16,0
35,8471700099357897929,0,19,0,0,6,0
36,8372524645314576802,828,0,0,671,16,0
37,5552924050444994427,830,0,0,669,16,0
38,6921452823375303736,1373,0,0,126,7,0
39,4529169694434968721,1,0,0,12,5,0
40,2787020355835455025,0,19,0,0,6,0
41,8971475435584615792,0,19,0,0,6,0
42,1236888576653956449,1422,4,0,77,3,0
43,2739250325777580694,832,1,0,667,15,0
44,3114628966267234599,827,0,0,672,16,0
45,2958221658060682960,0,19,0,0,6,0
46,7972619999376644068,832,0,0,667,16,0
47,7786277334741505527,830,0,0,669,16,0
48,7263129728113095915,1415,5,0,84,2,0
49,1501752248305324318,0,0,0,0,0,0
50,7959626024093666288,13,5,0,0,0,0
51,5670977555241596822,3,0,0,9,5,0
52,1801116365065971671,829,0,0,670,16,0
53,5938218521494275420,1431,1,0,68,6,0
54,7506757311218522218,827,0,0,672,16,0
55,7902319769656483014,2,0,0,10,5,0
56,5365891606775901565,828,0,0,671,16,0
57,7731628114272740713,13,5,0,0,0,0
58,2870952845845047203,827,0,0,672,16,0
59,4684120169809436364,995,15,0,504,1,0
60,8910898981588710522,830,0,0,669,16,0
61,8523889910428063033,0,19,0,0,6,0
62,8750493480383302874,1431,14,0,68,2,0
63,8783340632782870568,832,0,0,667,16,0
64,3547443835360588068,832,0,0,667,16,0
65,8959583929144879812,827,0,0,672,16,0
66,2974109706633403181,0,0,0,0,1,0
